code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0740092Y,Lycée Sainte Famille,74,Diplôme de Comptabilité et de Gestion,8884,Privé sous contrat d'association,True,False,141,0.67,0.5259375,0.125,0.875,0.0,0.56296875,0.0,0.375,0.31296875,0.063,0.0
0740100G,Lycée SAINT JOSEPH,74,BTS - Services - Analyses de biologie médicale,8887,Privé sous contrat d'association,True,False,374,0.25,0.466953125,0.213984375,0.71390625,0.07099609375,0.428984375,0.0,0.5,0.213984375,0.0,0.0
0740283F,ISETA de Poisy,74,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",8890,Privé sous contrat d'association,True,False,125,0.77,0.2859765625,0.153984375,0.76890625,0.385,0.691875,0.153984375,0.30796875,0.385,0.0,0.0
0740283F,ISETA de Poisy,74,BTS - Agricole - Aquaculture,8892,Privé sous contrat d'association,True,False,163,0.78,0.125,0.04,0.64,0.28,0.32,0.28,0.4,0.2,0.0,0.0
0741101V,Lycée Les Bressis,74,BTS - Services - Comptabilité et gestion,8898,Privé sous contrat d'association,True,False,174,0.89,0.09099609375,0.25,0.875,0.125,0.25,0.5,0.125,0.0,0.125,0.0
0741133E,I.U.T. Annecy,74,BUT - Génie mécanique et productique Parcours : Innovation pour l?industrie -Conception et production durable - Management de process industriel - Simulation numérique et réalité virtuelle,8900,Public,True,False,1762,0.42,0.055,0.09599609375,0.746875,0.0,0.51796875,0.0,0.433984375,0.47,0.096,0.0
0741133E,I.U.T. Annecy,74,"BUT - Qualité, logistique industrielle et organisation Parcours : Pilotage de la chaîne logistique globale - Qualité et pilotage des systèmes de management intégrés",8903,Public,True,False,462,0.66,0.185,0.2069921875,0.6209375,0.0,0.396953125,0.0,0.396953125,0.1719921875,0.0,0.0
0741133E,I.U.T. Annecy,74,BUT - Réseaux et télécommunications Parcours : Cybersécurité - Développement Système et Cloud,8904,Public,True,False,1151,0.56,0.05599609375,0.265,0.58796875,0.0,0.35296875,0.0,0.4559375,0.1909765625,0.0289999999999999,0.0
0741133E,I.U.T. Annecy,74,BUT - Génie électrique et informatique industrielle Parcours : Automatisme et informatique industrielle Section aménagée sport ou musique études (quatre ans),8907,Public,True,False,65,0.43,0.0,0.14298828125,0.428984375,0.0,0.2859765625,0.0,0.5709375,0.2859765625,0.0,0.0
0741133E,I.U.T. Annecy,74,BUT - Génie mécanique et productique Parcours : Innovation pour l?industrie Section aménagée sport ou musique études (quatre ans),8908,Public,True,False,81,0.57,0.14298828125,0.0,0.356953125,0.0,0.14298828125,0.0,0.428984375,0.5,0.071,0.0
0741418P,Lycée Charles Baudelaire,74,BTS - Services - Négociation et digitalisation de la Relation Client,8914,Public,True,False,867,0.29,0.461953125,0.428984375,0.951875,0.14298828125,0.523984375,0.428984375,0.5709375,0.14298828125,0.0,0.0
0750647W,Lycée Turgot,75,CPGE - ENS Rennes D1,8948,Public,True,False,2657,0.14,0.84,0.125,0.228984375,0.0,0.0,0.0,0.0,0.20796875,0.75,0.042
0750650Z,Lycée D'Alembert-Cuir,75,BTS - Services - Podo-orthésiste,8955,Public,True,False,223,0.47,0.726875,0.33296875,0.1669921875,0.0,0.5,0.33296875,0.33296875,0.0,0.0,0.0
0750650Z,Lycée D'Alembert-Cuir,75,BTS - Services - Prothésiste orthésiste,8956,Public,True,False,652,0.13,0.70796875,0.25,0.1669921875,0.1669921875,0.58296875,0.1669921875,0.58296875,0.0,0.083,0.0
0750651A,Lycée Simone Weil,75,BTS - Services - Gestion de la PME,8958,Public,True,False,2579,0.12,0.6359375,0.45,0.45,0.1,0.45,0.4,0.45,0.1,0.05,0.0
0750654D,Lycée Henri IV,75,CPGE - BCPST,8966,Public,True,False,2772,0.12,0.72296875,0.12798828125,0.29796875,0.063994140625,0.0,0.0,0.0,0.063994140625,0.489,0.447
0750654D,Lycée Henri IV,75,CPGE - Ecole nationale des Chartes,8972,Public,True,False,349,0.34,0.83296875,0.062998046875,0.18796875,0.08298828125,0.0,0.0,0.0419921875,0.1669921875,0.479,0.292
0750660K,Lycée Fénelon,75,CPGE - MPSI,8986,Public,True,False,4287,0.27,0.263984375,0.165,0.505,0.032998046875,0.0,0.0,0.043994140625,0.3959375,0.56,0.0
0750660K,Lycée Fénelon,75,CPGE - PCSI,8987,Public,True,False,3088,0.29,0.375,0.085,0.46796875,0.02099609375,0.0,0.0,0.0,0.5109375,0.426,0.064
0750663N,Lycée Chaptal,75,CPGE - PTSI,8993,Public,True,False,1616,0.27,0.13298828125,0.043994140625,0.2219921875,0.043994140625,0.0,0.0,0.0219970703125,0.421953125,0.556,0.0
0750671X,Lycée Edgar Quinet,75,BTS - Services - Commerce International,9007,Public,True,False,3050,0.15,0.741875,0.4,0.2,0.032998046875,0.5,0.13298828125,0.466953125,0.23296875,0.067,0.0
0750674A,Lycée Jules SIEGFRIED,75,BTS - Services - Management Commercial Opérationnel,9019,Public,True,False,3294,0.08,0.393984375,0.56,0.4,0.0,0.56,0.36,0.68,0.0,0.08,0.0
0750675B,Lycée Voltaire,75,CPGE - PTSI,9024,Public,True,False,978,0.62,0.175,0.178984375,0.2819921875,0.05099609375,0.0,0.0,0.666875,0.205,0.026,0.0
0750676C,Lycée des Métiers Dorian,75,BTS - Production - Métiers du géomètre-topographe et de la modélisation numérique,9028,Public,True,False,584,0.33,0.105,0.1669921875,0.416953125,0.1669921875,0.33296875,0.5,0.33296875,0.25,0.083,0.0
0750677D,Lycée Elisa Lemonnier,75,BTS - Services - Négociation et digitalisation de la Relation Client,9042,Public,True,False,2672,0.06,0.39296875,0.881875,0.528984375,0.058994140625,0.293984375,0.4709375,0.235,0.235,0.0,0.0
0750681H,ESAA Boulle,75,BTS - Production - Etude et réalisation d'agencement,9048,Public,True,False,1022,0.07,0.47796875,0.303984375,0.0869921875,0.0,0.173984375,0.521953125,0.34796875,0.34796875,0.261,0.0
0750685M,Lycée Pierre-Gilles de Gennes - ENCPB,75,CPGE - TB,9072,Public,True,False,301,0.55,0.513984375,0.4,0.2569921875,0.228984375,1.0,0.0,0.14298828125,0.5709375,0.2289999999999999,0.057
0750685M,Lycée Pierre-Gilles de Gennes - ENCPB,75,BTS - Production - Métiers de la chimie,9077,Public,True,False,937,0.34,0.6559375,0.255,0.148984375,0.02099609375,0.46796875,0.063994140625,0.5959375,0.10599609375,0.021,0.0
0750688R,Lycée François Rabelais,75,BTS - Services - Service et prestation des secteurs sanitaire et social,9097,Public,True,False,1690,0.19,0.946875,0.385,0.0769921875,0.0,0.1919921875,0.76890625,0.42296875,0.42296875,0.038,0.0
0750688R,Lycée François Rabelais,75,BTS - Services - Diététique,9099,Public,True,False,2229,0.29,0.8059375,0.381953125,0.11798828125,0.0289990234375,0.4709375,0.0289990234375,0.58796875,0.11798828125,0.0289999999999999,0.0
0750691U,Lycée Raspail,75,BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques,9108,Public,True,False,780,0.25,0.0,0.58296875,0.08298828125,0.0,0.1669921875,0.75,0.416953125,0.25,0.0,0.0
0750693W,Lycée Buffon,75,CPGE - MPSI,9114,Public,True,False,2021,0.21,0.2219921875,0.16296875,0.6509375,0.0,0.0,0.0,0.11599609375,0.7209375,0.163,0.0
