code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0561890A,ENSIBS Lorient,56,Formation d'ingénieur Bac + 5 - bac STI2D,25863,Public,True,True,140,0.4,0.0,0.5,0.75,0.0,1.0,0.0,0.25,0.5,0.25,0.0
0371532P,Lycée Esthétique de Touraine,37,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,4913,Privé sous contrat d'association,True,False,408,0.5,1.0,0.11798828125,0.735,0.265,0.235,0.4409375,0.528984375,0.265,0.088,0.0
0801479Y,Lycée Saint Remi,80,BTS - Services - Economie sociale familiale,20056,Privé sous contrat d'association,True,False,375,0.49,0.9309375,0.19,0.951875,0.14298828125,0.2859765625,0.618984375,0.428984375,0.2859765625,0.048,0.0
0340038G,Lycée Joffre,34,CPGE - BCPST,4483,Public,True,False,2498,0.15,0.616953125,0.085,0.871875,0.085,0.0,0.0,0.0,0.21296875,0.7020000000000001,0.085
0740005D,Lycée Gabriel Fauré,74,BTS - Services - Services informatiques aux organisations,8853,Public,True,False,563,0.31,0.16,0.4759375,0.856875,0.047998046875,0.3809375,0.523984375,0.5709375,0.19,0.048,0.0
0311177L,Institut Limayrac,31,BTS - Services - Economie sociale familiale,4111,Privé sous contrat d'association,True,False,852,0.44,0.931875,0.26296875,0.841875,0.0,0.341953125,0.4209375,0.55296875,0.2109765625,0.026,0.0
0880031F,Lycée professionnel PIERRE GILLES DE GENNES,88,Mention complémentaire - FCIL Maintenance de 1er niveau des véhicules routiers,24123,Public,True,False,17,0.77,0.0,0.666875,0.666875,0.0,0.0,1.0,0.666875,0.0,0.0,0.0
0620113L,Lycée Henri Darras,62,BTS - Production - Conception et réalisation en chaudronnerie industrielle,7382,Public,True,False,172,0.43,0.0339990234375,0.47796875,0.956875,0.0869921875,0.13,0.87,0.3909375,0.173984375,0.0,0.0
0490970N,Université Angers,49,"Licence - Portail MPC - Mathématiques, Physique, Chimie",32225,Public,False,False,448,0.97,0.528984375,0.375,0.875,0.0,0.125,0.0,0.5,0.125,0.25,0.0
0624109E,Lycée Giraux Sannier,62,Diplôme de Comptabilité et de Gestion,7532,Public,True,False,353,0.49,0.466953125,0.36796875,1.0,0.0,0.36796875,0.0,0.26296875,0.5259375,0.053,0.0
9730429D,Université de Guyane,973,Licence - Mathématiques - Parcours préparatoire au professorat des écoles,32675,Public,False,False,65,1.0,0.30796875,0.443984375,1.0,0.0,0.0,0.33296875,0.2219921875,0.11099609375,0.111,0.0
0134386X,Aix-Marseille Université - Site d'Aubagne,13,Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Activités Equestres Adaptées - APAS,33488,Public,False,False,323,0.23,0.9659375,0.2309765625,0.5,0.0,0.2309765625,0.115,0.3459375,0.385,0.0,0.0
0782076H,Université de Versailles - Saint Quentin en Yvelines,78,Licence - Portail Droit,19536,Public,False,False,2825,0.62,0.70390625,0.1619921875,0.9109375,0.0,0.05,0.0029998779296875,0.52796875,0.233984375,0.003,0.0
